title,authors,rating,tags,publisher,pubdate,languages,comments,isbn,identifiers,uuid
"The Outsiders 50th Anniversary Edition","S. E. Hinton","","Fiction, Classics, Social Themes, Violence","Penguin","2016-11-01T00:00:00-04:00","eng","50 years of an iconic classic! The international bestseller and inspiration for a beloved movie--now with bonus content. 
This special edition of the groundbreaking novel contains:Never before seen photos and letters from the publisher's archivesOriginal review clippings and media coveragePhotos from the author’s personal collectionA gallery of covers around the worldNew material from the stars and director of the iconic film--including Francis Ford Coppola, Rob Lowe, Matt Dillon, and othersAnd much more! Celebrating 50 years of the novel that laid the groundwork for the YA genre, this is the ultimate edition for fans of THE OUTSIDERS. A perfect way to honor this impressive milestone and a must-have for fans of all ages. Ponyboy can count on his brothers. And on his friends. But not on much else besides trouble with the Socs, a vicious gang of rich kids whose idea of a goo d time is beating up on “greasers” like Ponyboy. At least he knows what to expect—until the night someone takes things too far.
","9780425290965","isbn:9780425290965,google:1FQ8DQAAQBAJ","f5241314-3cd8-41f0-975a-a2358e428f4f"
"The Adventures of Tom Sawyer by Mark Twain Annotated Version","Mark Twain","","Fiction, Action & Adventure, Classics, Coming of Age, Literary","Independently Published","2020-05-15T00:00:00-04:00","eng","Tom Sawyer is a mischievous young boy with an undying hunger for adventure, and a knack for getting into trouble. He lives with his Aunt Polly in the Mississippi River town of St Petersburg, Missouri. He plays hooky from school; hangs around with Huck Finn, the unsophisticated son of the village drunkard; and deceives his friends into trading their treasures with him. Tom falls in love with Becky Thatcher, a new arrival in town, who returns his affection initially, and even agrees to an 'engagement'. However, after a slip of the tongue from Tom, she walks off in a huff. From innocent and imaginary adventures, Tom's life suddenly takes a new turn. One night, while Tom and Huck Finn are in a graveyard, they witness an incident they should not have. Terrified, they flee from the spot, and swear a blood oath that they will never reveal their secret to anyone. Tom and Huck then find themselves entangled in a series of real and exciting adventures, with dangerous men constantly at their heels. Can the boys stand up to the occasion, and become real-life heroes? Will they ever be able to reclaim their normal, carefree lives again?
","9798646201509","isbn:9798646201509,google:F2mRzQEACAAJ","c9ae5c57-0b30-4bd7-a29b-ca519f331706"
"The Time Machine","H. G. Wells","","Fiction, Classics, Science Fiction, Time Travel, Gothic","Courier Corporation","1995-04-15T00:00:00-04:00","eng","English novelist, historian and science writer Herbert George Wells (1866-1946) abandoned teaching and launched his literary career with a series of highly successful science-fiction novels. 'The Time Machine' was the first of a number of these imaginative literary inventions. The novel follows the adventures of a hypothetical Time Traveller who journeys into the future to find that humanity has evolved inro 2 races - the vegetarians (Eloi) and the carnivorous (Morlocks). While the novel iss underpinned with both Darwinian and Marxist theory, it also succeeds as an exciting blend of adventure and pseudo-scientific romance. Sure to delight lovers of fantastic and bizarre, it is a book that belongs on the shelf orf every science-fiction fan.
","9780486284729","isbn:9780486284729,google:51aMCgAAQBAJ","689b356d-664e-45cd-8d7c-84b85eaeba2e"
"Frankenstein","Mary W. Shelley & Unabridged (original Story)","","Fiction, Fantasy, Horror, Literary, Gothic","Lulu.com","2018-05-30T00:00:00-04:00","eng","Frankenstein by Mary Shelley. Loved by many decades of readers. Frankenstein an idealistic who creates a living creature from various body parts. Frankenstein then rejects his creation. Lonely and isolated Frankenstein's creation develops a mind of his own as he learns to loathe himself and hate his creator taking a hideous revenge on Frankenstein. Frankenstein then pursues his creation to the Arctic in order to destroy him. UNABRIDGED - ORIGINAL STORY
","9781387847839","isbn:9781387847839,google:ifVfDwAAQBAJ","6e570ecc-b83b-40b6-bec7-af37e617a2c1"
"Macabre Stories","H.P. Lovecraft","","Fiction, Classics, Fantasy, Paranormal, Dark Fantasy, Horror, Literary, Gothic","","0100-12-31T20:00:00-04:00","","","","","88f14971-73a3-4d09-9d20-50ca7d8a2ce1"
"Randolph Carter Tales","H. P. Lovecraft","","Fiction, Classics, Fantasy, Paranormal, Dark Fantasy, Horror, Literary, Gothic, Short Stories (Single Author)","Arcturus Publishing","2017-08-15T00:00:00-04:00","eng","The recurring character Carter, presumed to be Lovecraft's alter ego, is an obscure author with magical ancestry who faces unnameable monsters and nightmares. This collection of stories describes his encounters with and philosophical musings about the dreamworld, mummies and aliens""--Postscript description
","9781784288327","isbn:9781784288327,google:1duCswEACAAJ","5b596417-0571-42fb-aeeb-7d531980c74f"
"Stories of the Dreamlands","H. P. Lovecraft","","Fiction, Classics, Fantasy, Paranormal, Dark Fantasy, Horror, Literary, Gothic","Arcturus Publishing","2017-09-15T00:00:00-04:00","eng","""Twenty-three tales from Lovecraft's ""Dream Cycle"" which take place in an alternate dimension that is visited through dreams""--Google Books description.
","9781784288297","isbn:9781784288297,google:9VUstAEACAAJ","e6bb5894-7d1c-44a1-9491-e55ccf66e3ae"
"At the Mountains of Madness","H. P. Lovecraft","","Gothic, Fiction, Horror, Science Fiction, Action & Adventure, Short Stories (Single Author)","Simon and Schuster","2014-02-03T00:00:00-04:00","eng","H. P. Lovecraft was one of the greatest horror writers of all time. His seminal work appeared in the pages of legendary Weird Tales and has influenced countless writer of the macabre. This is one of those stories.
","9781609772505","isbn:9781609772505,google:Zz3tAgAAQBAJ","cbafd6b8-2ac3-4611-a9ca-380e9d06df43"
"The Call of Cthulu: A Horror Short From H.P. Lovecraft","H. P. Lovecraft","","Fiction, Horror, Classics, Short Stories (Single Author), Gothic","Andrews UK Limited","2021-08-03T00:00:00-04:00","eng","Written in 1926 and first published in the magazine Weird Tales two years later, The Call of Cthulu is almost certainly H.P. Lovecraft's best known short story. Drawing inspiration from Alfred Tennyson's sonnet ‘The Kraken’ as well as one of Lovecraft’s own dreams, the story sees a police officer from New Orleans ask the American Archaeological society for help identifying an idol carved in a mysterious green-black stone that was seized in a raid on a supposed voodoo cult. However, learning about the cult of Cthulu might not be the best of ideas… This version of H.P. Lovecraft’s classic tale has received minor edits to ensure suitability for a modern audience.
","9781789826333","isbn:9781789826333,google:gQhDEAAAQBAJ","93e8609a-5997-4627-835c-2230cff49fb2"
"The Dunwich Horror","H. P. Lovecraft","","Fiction, Classics, Fantasy, Paranormal, Dark Fantasy, Horror, Literary, Gothic","CreateSpace Independent Publishing Platform","2014-07-08T00:00:00-04:00","eng","The Dunwich Horror is a classic H. P. Lovecraft horror story that tells the tale of Wilbur Whateley, son of a deformed albino mother and an unknown father, and the strange events surrounding his birth and precocious development. Wilbur Whateley matures at an abnormal rate, reaching manhood within a decade--all the while indoctrinated him into dark rituals and witchcraft by his grandfather. 
In the isolated, desolate, decrepit village of Dunwich, Massachusetts, Wilbur Whateley is the hideous son of Lavinia Whateley, a deformed and unstable albino mother, and an unknown father (alluded to in passing by mad Old Whateley, as ""Yog-Sothoth""). Strange events surround his birth and precocious development. Wilbur matures at an abnormal rate, reaching manhood within a decade. Locals shun him and his family, and animals fear and despise him due to his odor. All the while, his sorcerer grandfather indoctrinates him into certain dark rituals and the study of witchcraft. Various locals grow suspicious after Old Whateley buys more and more cattle, yet the number of his herd never increases, and the cattle in his field become mysteriously afflicted with severe open wounds. 
Wilbur and his grandfather have sequestered an unseen presence at their farmhouse; this being is connected somehow to Yog-Sothoth. Year by year, this unseen entity grows to monstrous proportions, requiring the two men to make frequent modifications to their residence. People begin to notice a trend of cattle mysteriously disappearing. Wilbur Whateley's grandfather dies, and his mother disappears soon afterwards. The colossal entity eventually occupies the whole interior of the farmhouse. Wilbur Whateley ventures to Miskatonic University in Arkham to procure their copy of the Necronomicon - Miskatonic's library is one of only a handful in the world to stock an original. The Necronomicon has spells that Wilbur Whateley can use to summon the Old Ones, but his family's copy is damaged and lacks the page he needs to open the ""door. 
"" When the librarian, Dr. Henry Armitage, refuses to release the university's copy to him (and, by sending warnings to other libraries, thwarts Wilbur's efforts to consult their copies), Wilbur Whateley breaks into the library at night to steal it. A guard dog, maddened by Wilbur's alien body odor, attacks and kills him with unusual ferocity. When Dr. Armitage and two other professors, Warren Rice and Francis Morgan, arrive on the scene, they see Wilbur's semi-human corpse before it melts completely, leaving no evidence. 
Wilbur WhateleyBorn February 2, 1913 at 5 a.m. to Lavinia Whateley and Yog-Sothoth. Described as a ""dark, goatish-looking infant""-neighbors refer to him as ""Lavinny's black brat""-he shows extreme precocity: ""Within three months of his birth, he had attained a size and muscular power not usually found in infants under a full year of age.... At seven months, Wilbur Whateley began to walk unassisted,"" and he ""commenced to talk...at the age of only eleven months. At three years of age, ""he looked like a boy of ten,""[9] while at four and a half, he ""looked like a lad of fifteen. His lips and cheeks were fuzzy with a coarse dark down, and his voice had begun to break. 
"" ""Though Wilbur Whateley shared his mother's and grandfather's chinlessness, his firm and precociously shaped nose united with the expression of his large, dark, almost Latin eyes to give him an air of..well-nigh preternatural intelligence,"" Lovecraft writes, though at the same time he is ""exceedingly ugly...there being something almost goatish or animalistic about his thick lips, large-pored, yellowish skin, coarse crinkly hair, and oddly elongated ears. 
""
","9781500440411","google:7-mNoAEACAAJ,isbn:9781500440411","9f3280b1-f1c6-4f39-8089-c82b39a94071"
"The Awakening: A Novel","Kate Chopin","","Fiction, Classics, Women, Literary","Random House Publishing Group","2019-06-18T00:00:00-04:00","eng","A new edition of Kate Chopin’s controversial masterpiece, an essential novel in the canon of early feminism—with an introduction by Carmen Maria Machado, award-winning author of Her Body and Other Parties. “Whatever came, she had resolved never again to belong to another than herself.” With its forthright treatment of sex and depression, The Awakening, first published in 1899, was so shocking to turn-of-the-century readers that it was neglected for decades. Rediscovered in the 1960s, this brief, beautiful novel is considered a landmark of early feminism. It is the story of Edna Pontellier, a twenty-eight-year-old wife and mother of two who—with devastating consequences—rejects her conventional married life for a transgressive path of self-discovery. Edna is vacationing with her husband and children on the Louisiana Gulf Coast when she meets and falls in love with the passionate, impulsive Robert Lebrun. Afterward, Edna can no longer find meaning and satisfaction in her comfortable domestic life and moves out, alone. Her tragic quest for personal, creative, and erotic freedom is at the heart of this now-classic novel which captures women’s desires with extraordinary frankness, sympathy, and intensity. The Modern Library Torchbearers series features women who wrote on their own terms, with boldness, creativity, and a spirit of resistance.
","9781984854360","google:tq6ZDwAAQBAJ,isbn:9781984854360","0dbdce77-15c4-4a59-a200-a894c80ae345"
"BioShock: Rapture","John Shirley","","Fiction, Media Tie-In, Science Fiction, Action & Adventure, Alternative History","Macmillan","2011-07-19T00:00:00-04:00","eng","The prequel story to the award-winning and bestselling video game franchise. How the majesty of Rapture, the shining city below the sea, became an instant dystopia It's the end of World War II. FDR's New Deal has redefined American politics. Taxes are at an all-time high. The bombing of Hiroshima and Nagasaki has brought a fear of total annihilation. The rise of secret government agencies and sanctions on business has many watching their backs. America's sense of freedom is diminishing...and many are desperate to take that freedom back. Among them is a great dreamer, an immigrant who pulled himself from the depths of poverty to become one of the wealthiest and admired men in the world. That man is Andrew Ryan, and he believed that great men and women deserve better. And so he set out to create the impossible, a utopia free from government, censorship, and moral restrictions on science—where what you give is what you get. He created Rapture—the shining city below the sea. But as we all know, this utopia suffered a great tragedy. This is the story of how it all came to be...and how it all ended. 
At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.
","9780765324856","amazon:0765324857,isbn:9780765324856,google:K5CA8fc3xvYC","0bd3f530-3eaa-4a44-8a6a-7da1dd4a5fde"
"Ender's Game","Orson Scott Card","","Fiction, Science Fiction, Action & Adventure, Space Opera","Macmillan","1992-08-15T00:00:00-04:00","eng","From New York Times bestselling author Orson Scott Card, Ender's Game—adapted to film in 2013 starring Asa Butterfield and Harrison Ford—is the classic Hugo and Nebula award-winning science fiction novel of a young boy's recruitment into the midst of an interstellar war. 
In order to develop a secure defense against a hostile alien race's next attack, government agencies breed child geniuses and train them as soldiers. A brilliant young boy, Andrew ""Ender"" Wiggin lives with his kind but distant parents, his sadistic brother Peter, and the person he loves more than anyone else, his sister Valentine. Peter and Valentine were candidates for the soldier-training program but didn't make the cut—young Ender is the Wiggin drafted to the orbiting Battle School for rigorous military training. 
Ender's skills make him a leader in school and respected in the Battle Room, where children play at mock battles in zero gravity. Yet growing up in an artificial community of young soldiers Ender suffers greatly from isolation, rivalry from his peers, pressure from the adult teachers, and an unsettling fear of the alien invaders. His psychological battles include loneliness, fear that he is becoming like the cruel brother he remembers, and fanning the flames of devotion to his beloved sister. 
Is Ender the general Earth needs? But Ender is not the only result of the genetic experiments. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway for almost as long. Ender's two older siblings are every bit as unusual as he is, but in very different ways. Between the three of them lie the abilities to remake a world. If, that is, the world survives. 
Orson Scott Card's Ender's Game is the winner of the 1985 Nebula Award for Best Novel and the 1986 Hugo Award for Best Novel. 
THE ENDER UNIVERSEEnder seriesEnder’s Game / Ender in Exile / Speaker for the Dead / Xenocide / Children of the MindEnder’s Shadow seriesEnder’s Shadow / Shadow of the Hegemon / Shadow Puppets / Shadow of the Giant / Shadows in FlightChildren of the FleetThe First Formic War (with Aaron Johnston)Earth Unaware / Earth Afire / Earth AwakensThe Second Formic War (with Aaron Johnston)The Swarm /The HiveEnder novellasA War of Gifts /First Meetings
","9780312853235","google:gHY9YEWN8TEC,isbn:9780312853235","a46bd84a-0480-4a0e-bae9-c7400f0c521d"
"Dune","Frank Herbert","","Fiction, Science Fiction, Action & Adventure, Fantasy, Epic, Space Opera","Penguin","1990-09-01T00:00:00-04:00","eng","• DUNE: PART TWO • THE MAJOR MOTION PICTUREDirected by Denis Villeneuve, screenplay by Denis Villeneuve and Jon Spaihts, based on the novel Dune by Frank Herbert • Starring Timothée Chalamet, Zendaya, Rebecca Ferguson, Josh Brolin, Austin Butler, Florence Pugh, Dave Bautista, Christopher Walken, Stephen McKinley Henderson, Léa Seydoux, with Stellan Skarsgård, with Charlotte Rampling, and Javier BardemFrank Herbert’s classic masterpiece—a triumph of the imagination and one of the bestselling science fiction novels of all time. 
Set on the desert planet Arrakis, Dune is the story of Paul Atreides—who would become known as Muad'Dib—and of a great family's ambition to bring to fruition mankind's most ancient and unattainable dream. 
A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what is undoubtedly the grandest epic in science fiction.
","9780441172719","google:nrRKDwAAQBAJ,isbn:9780441172719","e53e207c-6172-4f16-90db-0cf69b905cf4"
